Vin_0,Vin_1,Output
1.1455610256296362,3.212817202530434,HIGH
0.19027828150072132,0.5488468105765356,LOW
1.003287114385767,2.0014574303050443,HIGH
1.4311533838526316,4.330601719900712,INDEFINIDO
3.619410042656297,2.8210017395978104,HIGH
0.8330898527891635,2.9089545664338896,HIGH
1.0512047568836116,4.742494343452472,HIGH
1.6523594229109124,2.7303775291584884,INDEFINIDO
1.9259476659721924,3.9100770563401093,INDEFINIDO
0.3002508614906864,2.9770858236058575,HIGH
0.9511750314067562,3.9244360411091863,HIGH
0.8757310354842427,4.5788780048560005,HIGH
1.3712867474194974,1.4625848719661914,INDEFINIDO
0.8846655889734604,0.2604463129775299,LOW
0.7548676215346808,4.0238591320226975,HIGH
3.1865395402722334,4.701330495644613,HIGH
1.755496249916486,1.5762183179620757,INDEFINIDO
1.3761077785412121,1.4324112200082484,INDEFINIDO
1.7761607815161755,1.5238541402932106,INDEFINIDO
1.5776906528637697,2.410557199767282,INDEFINIDO
1.1617080025264803,1.4791596012502062,INDEFINIDO
3.4927928989337382,2.026744028488142,HIGH
1.4229814471782833,1.6330384552334756,INDEFINIDO
1.124859959238563,1.9548247075330432,INDEFINIDO
3.320532188279792,1.2219539191055795,HIGH
0.19209813823489091,2.207673937358151,HIGH
1.5645610280269984,1.4263980507226697,INDEFINIDO
4.2743394886223305,1.0144503781756165,HIGH
1.3790664859178086,1.450597224384396,INDEFINIDO
1.8088030204426155,4.798942164746761,INDEFINIDO
4.9714160540153935,3.1261618138565717,HIGH
1.1700995164771644,0.9603582318864586,LOW
1.8647099990894673,4.484526065623118,INDEFINIDO
1.2217486224811989,0.8170944649753484,LOW
1.0569232306257816,0.2600945610995927,LOW
1.944339636758126,3.1907033695053624,INDEFINIDO
3.1030536449296893,0.8400273956723412,HIGH
1.861049013673176,1.5741647784198807,INDEFINIDO
3.8045145618214073,1.173693385229721,HIGH
0.7774001513515989,1.407663934282733,INDEFINIDO
3.6672717076051304,1.2531621410997256,HIGH
0.3233167884993106,4.780420795892832,HIGH
3.4013458784120205,0.9616637271352422,HIGH
